,person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
1153,78497,Jerry West,1960,1,2,2,Draft,1610612747,Los Angeles,Lakers,LAL,West Virginia,College/University,1
1169,80161,Jim Hagan,1960,3,2,18,Draft,1610612747,Los Angeles,Lakers,LAL,Tennessee Tech,College/University,0
1177,80159,Wally Frank,1960,4,2,26,Draft,1610612747,Los Angeles,Lakers,LAL,Kansas State,College/University,0
1178,78458,Ben Warley,1960,4,3,27,Draft,1610612747,Los Angeles,Lakers,LAL,Tennessee State,College/University,1
1185,80157,George Farley,1960,5,2,34,Draft,1610612747,Los Angeles,Lakers,LAL,Cornell,College/University,0
1193,80160,Bobby Goodall,1960,6,2,42,Draft,1610612747,Los Angeles,Lakers,LAL,Tulsa,College/University,0
1201,77172,Howie Jolliff,1960,7,2,50,Draft,1610612747,Los Angeles,Lakers,LAL,Ohio,College/University,1
1208,80165,John Werhas,1960,8,2,57,Draft,1610612747,Los Angeles,Lakers,LAL,Southern California,College/University,0
1215,80164,Claude Lefevre,1960,9,2,64,Draft,1610612747,Los Angeles,Lakers,LAL,Gonzaga,College/University,0
1222,80162,Dick Harvey,1960,10,2,71,Draft,1610612747,Los Angeles,Lakers,LAL,Creighton,College/University,0
1227,80158,Sterling Forbes,1960,11,2,76,Draft,1610612747,Los Angeles,Lakers,LAL,Pepperdine,College/University,0
1232,80163,Will Jones,1960,12,2,81,Draft,1610612747,Los Angeles,Lakers,LAL,American,College/University,0
1256,78630,Wayne Yates,1961,1,5,5,Draft,1610612747,Los Angeles,Lakers,LAL,Memphis,College/University,1
1264,80227,Fred Sawyer,1961,2,4,13,Draft,1610612747,Los Angeles,Lakers,LAL,Louisville,College/University,0
1278,80221,Frank Burgess,1961,3,4,27,Draft,1610612747,Los Angeles,Lakers,LAL,Gonzaga,College/University,0
1287,80223,Charles Henke,1961,4,4,36,Draft,1610612747,Los Angeles,Lakers,LAL,Missouri,College/University,0
1296,80225,Bill Lickert,1961,5,4,45,Draft,1610612747,Los Angeles,Lakers,LAL,Kentucky,College/University,0
1305,80226,Bill McClintock,1961,6,4,54,Draft,1610612747,Los Angeles,Lakers,LAL,California,College/University,0
1314,80219,Albert Alamanza,1961,7,4,63,Draft,1610612747,Los Angeles,Lakers,LAL,Texas,College/University,0
1323,80222,Bill Ellis,1961,8,4,72,Draft,1610612747,Los Angeles,Lakers,LAL,California-Los Angeles,College/University,0
1331,80220,Carl Anderson,1961,9,4,80,Draft,1610612747,Los Angeles,Lakers,LAL,Oregon State,College/University,0
1338,80228,Robert Williams,1961,10,4,87,Draft,1610612747,Los Angeles,Lakers,LAL,Allan Hancock College,College/University,0
1346,80224,Howard Hunt,1961,11,4,95,Draft,1610612747,Los Angeles,Lakers,LAL,Duke,College/University,0
1364,76663,Leroy Ellis,1962,1,6,6,Draft,1610612747,Los Angeles,Lakers,LAL,St. John's (NY),College/University,1
