,id,full_name,first_name,last_name,is_active
10,1630173,Precious Achiuwa,Precious,Achiuwa,1
22,203500,Steven Adams,Steven,Adams,1
24,1628389,Bam Adebayo,Bam,Adebayo,1
29,1630534,Ochai Agbaji,Ochai,Agbaji,1
41,1630583,Santi Aldama,Santi,Aldama,1
54,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1
58,1628960,Grayson Allen,Grayson,Allen,1
59,1628386,Jarrett Allen,Jarrett,Allen,1
75,1630631,Jose Alvarado,Jose,Alvarado,1
96,203937,Kyle Anderson,Kyle,Anderson,1
111,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,1
112,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,1
113,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,1
115,1630175,Cole Anthony,Cole,Anthony,1
119,1628384,O.G. Anunoby,O.G.,Anunoby,1
125,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,1
159,1630166,Deni Avdija,Deni,Avdija,1
167,1629028,Deandre Ayton,Deandre,Ayton,1
169,1628962,Udoka Azubuike,Udoka,Azubuike,1
178,1628963,Marvin Bagley III,Marvin,Bagley III,1
191,1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,1
194,1630163,LaMelo Ball,LaMelo,Ball,1
195,1629071,LiAngelo Ball,LiAngelo,Ball,1
196,1628366,Lonzo Ball,Lonzo,Ball,1
199,1628964,Mo Bamba,Mo,Bamba,1
200,1631094,Paolo Banchero,Paolo,Banchero,1
201,1630217,Desmond Bane,Desmond,Bane,1
206,1630625,Dalano Banton,Dalano,Banton,1
218,1631230,Dominick Barlow,Dominick,Barlow,1
219,203084,Harrison Barnes,Harrison,Barnes,1
224,1630567,Scottie Barnes,Scottie,Barnes,1
235,1629628,RJ Barrett,RJ,Barrett,1
244,203115,Will Barton,Will,Barton,1
250,1629646,Charles Bassey,Charles,Bassey,1
254,1628966,Keita Bates-Diop,Keita,Bates-Diop,1
262,201587,Nicolas Batum,Nicolas,Batum,1
270,203145,Kent Bazemore,Kent,Bazemore,1
271,1629647,Darius Bazley,Darius,Bazley,1
273,203078,Bradley Beal,Bradley,Beal,1
277,1627736,Malik Beasley,Malik,Beasley,1
281,1630699,MarJon Beauchamp,MarJon,Beauchamp,1
318,1631262,Jules Bernard,Jules,Bernard,1
322,202722,Davis Bertans,Davis,Bertans,1
325,201976,Patrick Beverley,Patrick,Beverley,1
326,1630180,Saddiq Bey,Saddiq,Bey,1
339,1631234,Marcus Bingham Jr.,Marcus,Bingham Jr.,1
341,203920,Khem Birch,Khem,Birch,1
347,1629048,Goga Bitadze,Goga,Bitadze,1
348,202687,Bismack Biyombo,Bismack,Biyombo,1
384,1631205,Buddy Boeheim,Buddy,Boeheim,1
387,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,1
388,202711,Bojan Bogdanovic,Bojan,Bogdanovic,1
392,1629626,Bol Bol,Bol,Bol,1
395,1629716,Marques Bolden,Marques,Bolden,1
397,1630195,Leandro Bolmaro,Leandro,Bolmaro,1
409,1626164,Devin Booker,Devin,Booker,1
425,1630527,Brandon Boston,Brandon,Boston,1
428,1628449,Chris Boucher,Chris,Boucher,1
429,1630547,James Bouknight,James,Bouknight,1
431,1631123,Jamaree Bouyea,Jamaree,Bouyea,1
462,1628396,Tony Bradley,Tony,Bradley,1
470,1631103,Malaki Branham,Malaki,Branham,1
478,1631128,Christian Braun,Christian,Braun,1
495,1628969,Mikal Bridges,Mikal,Bridges,1
502,1629052,Oshae Brissett,Oshae,Brissett,1
511,1627763,Malcolm Brogdon,Malcolm,Brogdon,1
516,1628415,Dillon Brooks,Dillon,Brooks,1
525,1628971,Bruce Brown,Bruce,Brown,1
535,1631122,Gabe Brown,Gabe,Brown,1
540,1627759,Jaylen Brown,Jaylen,Brown,1
543,1631112,Kendall Brown,Kendall,Brown,1
551,1629650,Moses Brown,Moses,Brown,1
563,1630535,Greg Brown III,Greg,Brown III,1
564,1629718,Charlie Brown Jr.,Charlie,Brown Jr.,1
566,1628972,Troy Brown Jr.,Troy,Brown Jr.,1
569,1628973,Jalen Brunson,Jalen,Brunson,1
577,1628418,Thomas Bryant,Thomas,Bryant,1
592,203493,Reggie Bullock,Reggie,Bullock,1
598,203504,Trey Burke,Trey,Burke,1
600,202692,Alec Burks,Alec,Burks,1
624,1630215,Jared Butler,Jared,Butler,1
625,202710,Jimmy Butler,Jimmy,Butler,1
641,1631288,Jamal Cain,Jamal,Cain,1
648,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,1
662,1628427,Vlatko Cancar,Vlatko,Cancar,1
663,1629962,Devin Cannady,Devin,Cannady,1
665,203991,Clint Capela,Clint,Capela,1
668,1630176,Vernon Carey Jr.,Vernon,Carey Jr.,1
